Date,III.L,ADM.L,AAF.L,AAL.L,ANTO.L,AHT.L,ABF.L,AZN.L,AUTO.L,AV..L,BME.L,BA..L,BARC.L,BDEV.L,BEZ.L,BKG.L,BP..L,BATS.L,BT.A.L,BNZL.L,BRBY.L,CNA.L,CCH.L,CPG.L,CTEC.L,CRDA.L,DCC.L,DGE.L,DPLM.L,ENT.L,EZJ.L,EXPN.L,FCIT.L,FLTR.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HLN.L,HLMA.L,HIK.L,HWDN.L,HSBA.L,IHG.L,IMI.L,IMB.L,INF.L,ICG.L,IAG.L,ITRK.L,JD..L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNG.L,MKS.L,MRO.L,MNDI.L,NG..L,NWG.L,NXT.L,OCDO.L,PSON.L,PSH.L,PSN.L,PHNX.L,PRU.L,RKT.L,REL.L,RTO.L,RMV.L,RIO.L,RR..L,RS1.L,SGE.L,SBRY.L,SDR.L,SMT.L,SGRO.L,SVT.L,SHEL.L,SMDS.L,SMIN.L,SN..L,SKG.L,SPX.L,SSE.L,STAN.L,STJ.L,TW..L,TSCO.L,ULVR.L,UU..L,UTG.L,VOD.L,WEIR.L,WTB.L,WPP.L
2023-11-02,1995.0181884765625,2482.05224609375,115.99993133544922,2109.875,1343.8408203125,4862.83447265625,2094.048095703125,10201.9853515625,622.13134765625,0.0,508.2297668457031,0.0,129.05899047851562,428.226806640625,517.6629028320312,4148.0859375,0.0,2388.73681640625,0.0,2921.837158203125,1701.887939453125,157.60000610351562,2104.0,2075.0537109375,207.01321411132812,4384.88818359375,4606.88134765625,3150.524169921875,2892.27099609375,874.2698364257812,374.8436584472656,2595.96826171875,871.8192138671875,13345.0,818.5,542.70947265625,434.1157531738281,1368.6556396484375,316.1364440917969,1875.6905517578125,1791.21435546875,613.8344116210938,546.9532470703125,5809.25830078125,1452.470703125,1691.0557861328125,722.4000244140625,1361.7525634765625,147.6999969482422,3810.0,0.0,214.89999389648438,587.9766845703125,209.40597534179688,40.32797622680664,8287.3876953125,192.72027587890625,222.02621459960938,485.3535461425781,1320.6661376953125,0.0,173.5298309326172,7191.1005859375,509.20001220703125,945.06982421875,2958.982666015625,1072.0,444.7245178222656,855.2127685546875,5392.79736328125,2852.406005859375,421.1888122558594,467.962646484375,5139.02783203125,0.0,677.9108276367188,980.489013671875,267.8402404785156,368.9181823730469,668.1165161132812,732.4144897460938,2623.06884765625,2710.851318359375,282.4203186035156,1610.9542236328125,0.0,2656.5322265625,8242.0166015625,1665.427001953125,601.560302734375,648.697265625,0.0,274.0,3829.505126953125,0.0,918.31201171875,72.58185577392578,1701.7061767578125,3312.0,727.7999877929688
2023-11-03,1969.3270263671875,2476.088134765625,116.29485321044922,2161.263916015625,1345.8236083984375,4945.62744140625,2112.94921875,10111.4052734375,622.3304443359375,0.0,513.3826904296875,0.0,132.06170654296875,438.1302795410156,527.9475708007812,4196.7353515625,0.0,2403.482177734375,0.0,2899.97314453125,1699.4185791015625,153.3000030517578,2115.0,2025.6947021484375,208.988525390625,4500.40966796875,4597.98779296875,3158.93359375,2931.78271484375,909.0665893554688,388.0361022949219,2636.779052734375,874.8082885742188,13865.0,819.5,555.8347778320312,433.4748229980469,1368.2635498046875,316.3338928222656,1889.1417236328125,1760.9622802734375,628.7532348632812,547.7719116210938,5686.54150390625,1486.111083984375,1704.7696533203125,718.5999755859375,1394.7139892578125,150.4499969482422,3874.0,0.0,222.5,598.8579711914062,209.5941925048828,40.96511459350586,8221.9609375,191.21023559570312,221.62779235839844,487.2436218261719,1325.0716552734375,0.0,178.44554138183594,7270.45068359375,542.2000122070312,938.1786499023438,2935.15185546875,1115.5,449.3838195800781,882.4901733398438,5266.29736328125,2799.090087890625,436.5909423828125,464.79803466796875,5115.9912109375,0.0,685.0321044921875,959.3245239257812,270.50091552734375,377.5624694824219,686.2761840820312,766.6577758789062,2646.65576171875,2597.73583984375,283.6938171386719,1615.4166259765625,0.0,2706.837890625,8370.3974609375,1672.846435546875,600.0099487304688,656.7495727539062,0.0,275.79998779296875,3783.37255859375,0.0,928.060546875,73.98235321044922,1732.3853759765625,3251.0,744.0
2023-11-06,1957.469482421875,2465.154052734375,114.32875061035156,2171.05224609375,1337.8924560546875,4886.77490234375,2095.04296875,10117.3125,615.1635131835938,0.0,507.4664001464844,0.0,132.02297973632812,435.55535888671875,519.1321411132812,4159.00732421875,0.0,2391.115234375,0.0,2857.23876953125,1675.712646484375,154.39999389648438,2121.0,2029.6434326171875,206.0255584716797,4382.9130859375,4513.99267578125,3143.598876953125,2874.490478515625,923.6971435546875,392.7972717285156,2598.954345703125,870.8228149414062,13670.0,809.0,553.4483032226562,435.84136962890625,1377.4793701171875,318.6540832519531,1866.2249755859375,1757.5467529296875,621.0975341796875,554.2301635742188,5718.21044921875,1473.24853515625,1697.6763916015625,715.5999755859375,1356.3409423828125,149.3000030517578,3846.0,0.0,218.8000030517578,579.8157348632812,209.02951049804688,40.67068099975586,8241.787109375,193.09779357910156,218.14151000976562,504.3538513183594,1323.11376953125,0.0,181.16590881347656,7147.4580078125,530.0,939.1631469726562,2919.2646484375,1081.5,447.0066223144531,882.6863403320312,5340.2509765625,2818.836669921875,434.3200988769531,457.776611328125,5120.79052734375,0.0,674.5479125976562,952.0059204101562,266.5592041015625,368.4379577636719,674.5023803710938,741.6112670898438,2606.361328125,2618.302490234375,284.5754699707031,1598.5584716796875,0.0,2677.8154296875,8281.5185546875,1653.0611572265625,612.4132080078125,645.94775390625,0.0,275.8999938964844,3783.37255859375,0.0,888.5789794921875,74.12334442138672,1727.4371337890625,3294.0,723.7999877929688
2023-11-07,1969.3270263671875,2493.98046875,113.05078125,2094.2138671875,1292.2880859375,4909.71728515625,2238.293701171875,10072.0234375,625.5158081054688,0.0,508.03900146484375,0.0,131.9454803466797,445.3598327636719,555.8631591796875,4215.59912109375,0.0,2399.201171875,0.0,2882.084228515625,1671.2677001953125,150.85000610351562,2118.0,2023.7203369140625,207.2107391357422,4432.28173828125,4534.74462890625,3153.98681640625,2921.90478515625,930.2214965820312,394.7810974121094,2632.797607421875,877.7974243164062,13550.0,833.5,547.68115234375,425.5863037109375,1396.8916015625,322.3564758300781,1886.152587890625,1721.439453125,626.0050659179688,553.3206176757812,5769.67236328125,1475.2274169921875,1705.715576171875,717.0,1375.0355224609375,149.64999389648438,3871.0,0.0,217.89999389648438,587.3937377929688,208.74716186523438,40.593448638916016,8380.5712890625,192.24838256835938,224.3172149658203,504.1548767089844,1323.11376953125,0.0,186.32025146484375,7268.466796875,550.2000122070312,949.5982666015625,2951.0390625,1145.5,440.9210205078125,885.041259765625,5381.12060546875,2856.35546875,438.36810302734375,460.24896240234375,5020.96630859375,0.0,687.801513671875,971.1924438476562,267.5446472167969,369.3023681640625,684.8793334960938,752.7648315429688,2612.258056640625,2571.782958984375,286.43670654296875,1607.979248046875,0.0,2697.163818359375,8273.6181640625,1643.6630859375,603.1107788085938,646.1441650390625,0.0,277.0,3818.217529296875,0.0,899.3023681640625,73.47479248046875,1726.447509765625,3293.0,719.0
2023-11-08,2016.7568359375,2522.806884765625,113.05078125,2051.14501953125,1288.8182373046875,4906.724609375,2294.997314453125,10012.9501953125,632.483642578125,0.0,513.1918334960938,0.0,131.7517547607422,444.0723876953125,564.1888427734375,4203.68505859375,0.0,2403.482177734375,0.0,2895.997802734375,1685.590087890625,148.8000030517578,2118.0,2048.39990234375,209.58111572265625,4462.8896484375,4528.8154296875,3186.14013671875,2919.92919921875,947.0267944335938,401.5260925292969,2646.73291015625,886.7646484375,13700.0,826.0,538.7321166992188,420.65594482421875,1398.2640380859375,323.541259765625,1894.621826171875,1717.535888671875,630.91259765625,552.4110107421875,5795.4033203125,1498.9735107421875,1703.35107421875,718.5999755859375,1377.9873046875,152.75,3847.0,0.0,220.0,584.0905151367188,207.71189880371094,40.53553009033203,8440.05078125,192.72027587890625,243.14312744140625,508.5319519042969,1322.6241455078125,0.0,187.1793212890625,7278.3857421875,539.2000122070312,957.8676147460938,2953.025146484375,1143.0,439.77996826171875,874.6405639648438,5346.08984375,2876.10205078125,437.87445068359375,464.2046813964844,4994.0908203125,0.0,684.2408447265625,983.8515625,263.8000183105469,372.6640319824219,684.480224609375,752.7648315429688,2589.654052734375,2542.89208984375,285.6530456542969,1616.4083251953125,0.0,2681.68505859375,8319.044921875,1610.0281982421875,600.59130859375,643.3945922851562,0.0,278.0,3831.959228515625,0.0,919.286865234375,72.39385986328125,1753.1680908203125,3296.0,718.2000122070312
2023-11-09,1997.9825439453125,2546.6630859375,114.69999694824219,2032.057861328125,1313.1075439453125,4970.56494140625,2322.8515625,10274.841796875,686.0367431640625,0.0,497.3514404296875,0.0,132.68162536621094,452.9855041503906,568.1068725585938,4267.2265625,0.0,2410.141357421875,0.0,2915.874267578125,1698.4307861328125,151.4499969482422,2135.0,2053.335693359375,210.17372131347656,4516.20751953125,4614.787109375,3210.378662109375,2995.001953125,933.7802734375,401.12933349609375,2717.405517578125,897.7246704101562,12300.0,834.0,540.3231201171875,423.7127685546875,1387.6756591796875,324.6272888183594,1942.9464111328125,1715.0963134765625,636.8016357421875,555.8699951171875,5817.17578125,1513.8148193359375,1689.63720703125,721.2000122070312,1389.79443359375,154.5,3868.0,0.0,227.3000030517578,584.8677368164062,209.7824249267578,40.81548309326172,8461.859375,194.32470703125,243.14312744140625,513.9037475585938,1357.378662109375,0.0,191.66551208496094,7355.751953125,545.0,961.41162109375,3008.630126953125,1176.5,443.86871337890625,885.2374877929688,5408.36669921875,2918.557373046875,440.5401916503906,482.3021545410156,5050.7216796875,0.0,709.7589111328125,991.4668579101562,267.70001220703125,377.08221435546875,692.0633544921875,760.7874755859375,2606.361328125,2561.01025390625,290.4530944824219,1635.7457275390625,0.0,2747.469482421875,8650.8583984375,1643.6630859375,607.7620239257812,647.9116821289062,0.0,279.29998779296875,3910.9736328125,0.0,935.859375,72.92022705078125,1790.280029296875,3292.0,726.5999755859375
2023-11-10,2001.93505859375,2534.735107421875,113.5,1975.77490234375,1287.8267822265625,4913.70751953125,2317.87744140625,9934.185546875,678.8697509765625,0.0,499.8324279785156,0.0,131.3255615234375,439.81390380859375,557.8221435546875,4211.6279296875,0.0,2356.392333984375,0.0,2902.95458984375,1656.9454345703125,152.10000610351562,2085.0,2055.31005859375,205.63047790527344,4451.04150390625,4548.5791015625,2819.593017578125,2949.563232421875,914.9978637695312,390.91265869140625,2670.622314453125,888.7574462890625,12155.0,835.0,513.6748046875,421.14898681640625,1371.0086669921875,320.826171875,1924.5133056640625,1710.2169189453125,633.6607666015625,552.275390625,5797.3828125,1504.9100341796875,1659.372314453125,711.7999877929688,1364.704345703125,151.5500030517578,3807.0,0.0,226.0,582.7303466796875,207.52366638183594,40.30384063720703,8479.703125,192.15402221679688,245.43409729003906,512.3120727539062,1353.4625244140625,0.0,188.0861053466797,7322.0283203125,514.5999755859375,954.5205078125,2955.010986328125,1149.0,441.3964538574219,865.8097534179688,5344.1435546875,2917.570068359375,440.8363952636719,476.3685607910156,5047.84228515625,0.0,701.8463134765625,983.0603637695312,267.0,372.6640319824219,683.482421875,757.265380859375,2589.654052734375,2575.210693359375,288.10205078125,1619.38330078125,0.0,2733.92578125,8429.6494140625,1661.964599609375,602.5293579101562,638.4846801757812,0.0,277.70001220703125,3876.12890625,0.0,930.01025390625,71.79230499267578,1768.5076904296875,3264.0,701.2000122070312
2023-11-13,2013.79248046875,2552.627197265625,113.69999694824219,1988.499755859375,1281.87841796875,4966.5751953125,2330.809814453125,10089.7451171875,695.9908447265625,0.0,506.5121154785156,0.0,132.4491729736328,445.8550109863281,556.3529052734375,4271.1982421875,0.0,2418.703125,0.0,2936.744384765625,1651.0189208984375,151.75,2093.0,2073.079345703125,206.0255584716797,4463.87744140625,4610.833984375,2857.682373046875,2959.441162109375,881.3873291015625,404.7002258300781,2628.81591796875,901.7101440429688,12415.0,838.5,514.8680419921875,424.45233154296875,1379.6363525390625,318.8515319824219,1917.0404052734375,1724.85498046875,640.1387329101562,560.2940673828125,5894.36865234375,1508.8677978515625,1691.0557861328125,702.0,1364.704345703125,151.89999389648438,3805.0,0.0,229.0,587.7823486328125,211.85296630859375,40.564491271972656,8374.6240234375,195.92913818359375,250.01608276367188,527.6317749023438,1370.594970703125,0.0,187.4656524658203,7470.8095703125,512.7999877929688,952.5515747070312,3016.573486328125,1170.5,466.40447998046875,881.5089721679688,5381.12060546875,2921.519287109375,451.8943176269531,478.2475280761719,5087.19580078125,0.0,706.1983032226562,978.313232421875,270.29998779296875,373.7205505371094,693.2606811523438,750.80810546875,2592.602294921875,2601.6533203125,291.2367858886719,1625.333251953125,0.0,2718.447021484375,8435.5751953125,1658.5020751953125,608.9248046875,640.4486694335938,0.0,281.5,3875.147216796875,0.0,929.5228271484375,72.75104522705078,1766.5283203125,3280.0,700.4000244140625
2023-11-14,2047.388671875,2535.72900390625,114.19999694824219,2098.129150390625,1333.43115234375,5165.07861328125,2323.846435546875,10028.703125,701.7642211914062,0.0,532.2766723632812,0.0,134.11520385742188,468.4349670410156,547.5374755859375,4400.267578125,0.0,2397.298828125,0.0,2936.744384765625,1683.1207275390625,149.8000030517578,2065.0,2030.630615234375,216.6922607421875,4554.71484375,5185.953125,2867.57568359375,3002.904296875,870.7110595703125,411.941162109375,2668.631591796875,900.7138061523438,12775.0,848.5,531.9706420898438,443.72991943359375,1356.3026123046875,318.9009094238281,1952.9102783203125,1707.7772216796875,668.4061279296875,557.5289916992188,5886.451171875,1553.3917236328125,1703.8238525390625,739.4000244140625,1431.1192626953125,153.89999389648438,3806.0,0.0,235.0,626.0610961914062,213.4529266357422,40.791351318359375,8249.7177734375,191.39898681640625,252.5062713623047,529.223388671875,1376.95849609375,0.0,191.85641479492188,7573.96484375,564.5999755859375,949.4014282226562,3026.5029296875,1239.5,465.1683349609375,906.235107421875,5348.03564453125,2859.3173828125,461.66876220703125,500.9929504394531,5194.69873046875,0.0,727.1666259765625,971.7858276367188,268.8999938964844,385.5343933105469,709.0256958007812,799.1399536132812,2640.759033203125,2566.396728515625,287.2204284667969,1633.2666015625,0.0,2702.96826171875,8718.01171875,1693.1263427734375,607.955810546875,648.697265625,0.0,278.6000061035156,3841.28369140625,0.0,977.778076171875,68.71871948242188,1782.36279296875,3323.0,714.7999877929688
2023-11-15,2083.94921875,2562.5673828125,113.0999984741211,2163.7109375,1365.1558837890625,5242.8837890625,2343.7421875,9934.185546875,702.3613891601562,0.0,525.21533203125,0.0,135.49063110351562,468.23687744140625,543.1297607421875,4451.89501953125,0.0,2395.39599609375,0.0,2927.800048828125,1723.12451171875,147.60000610351562,2090.0,2052.3486328125,222.6182098388672,4604.0830078125,5174.09521484375,2815.14111328125,2985.123779296875,858.453125,424.5384521484375,2869.699462890625,910.677490234375,12585.0,865.0,540.7208251953125,458.22509765625,1365.5184326171875,323.0969543457031,1958.390380859375,1690.2115478515625,684.8954467773438,568.6814575195312,5951.7685546875,1585.05322265625,1714.2274169921875,744.0,1453.74951171875,161.0500030517578,3795.0,0.0,234.8000030517578,624.506591796875,215.61756896972656,41.60225296020508,8313.162109375,192.90902709960938,254.10000610351562,529.8201904296875,1404.3704833984375,0.0,195.38809204101562,7667.201171875,596.2000122070312,935.225341796875,3042.39013671875,1236.5,469.4472961425781,921.3455810546875,5309.11279296875,2886.962646484375,462.35986328125,506.33319091796875,5213.89599609375,0.0,735.4747924804688,973.5661010742188,265.6000061035156,389.4723205566406,726.7863159179688,796.0091552734375,2624.0517578125,2581.0869140625,292.902099609375,1635.7457275390625,0.0,2764.883056640625,8826.640625,1732.2022705078125,617.8396606445312,691.3153076171875,0.0,273.5,3820.671142578125,0.0,964.6175537109375,68.32394409179688,1824.9178466796875,3389.0,715.5999755859375
2023-11-16,2091.85400390625,2539.705078125,112.69999694824219,2129.941162109375,1346.8150634765625,5149.1181640625,2341.752685546875,10009.01171875,698.1807250976562,0.0,513.1756591796875,0.0,134.67698669433594,464.6716613769531,538.7219848632812,4417.1455078125,0.0,2377.3212890625,0.0,2918.0,1531.0076904296875,149.3000030517578,2096.0,2055.31005859375,221.43301391601562,4521.14453125,5106.89892578125,2762.70654296875,2955.489990234375,839.868408203125,423.4473571777344,2890.602783203125,898.7210083007812,12350.0,850.0,533.9593505859375,451.2733154296875,1368.6875,323.9361877441406,2020.664306640625,1680.4527587890625,671.5469970703125,561.1235961914062,5914.16162109375,1550.4234619140625,1715.17333984375,736.0,1435.546875,159.5,3776.0,0.0,228.8000030517578,621.9806518554688,212.7941131591797,41.293338775634766,8342.9013671875,191.7764892578125,255.1999969482422,519.8724365234375,1357.378662109375,0.0,191.76095581054688,7564.0458984375,559.4000244140625,934.0440063476562,3084.423828125,1215.0,458.7974548339844,900.347900390625,5223.48193359375,2914.608154296875,457.0283508300781,495.8504943847656,5181.26123046875,0.0,723.408203125,974.5550537109375,264.3999938964844,384.6699523925781,711.8195190429688,790.1388549804688,2630.93115234375,2527.975341796875,280.55908203125,1621.3665771484375,0.0,2656.5322265625,8688.3857421875,1751.9876708984375,610.6690063476562,674.8180541992188,0.0,275.29998779296875,3801.0,0.0,947.5576171875,68.82211303710938,1791.7645263671875,3284.0,698.2000122070312
2023-11-17,2145.212646484375,2583.441650390625,113.9000015258789,2186.71337890625,1367.138671875,5230.91357421875,2367.617431640625,10101.5595703125,703.555908203125,0.0,517.6063232421875,0.0,138.31900024414062,479.32879638671875,546.5579833984375,4488.63037109375,0.0,2398.7255859375,0.0,2945.0,1545.3299560546875,151.75,2117.0,2065.181884765625,224.0009307861328,4539.904296875,5284.77099609375,2779.525146484375,2983.148193359375,845.9974365234375,432.17620849609375,2919.468994140625,904.69921875,12695.0,868.0,541.3174438476562,461.13397216796875,1397.011962890625,322.7020568847656,2045.5738525390625,1718.02392578125,675.6693115234375,567.2067260742188,6032.919921875,1569.2225341796875,1751.5859375,749.0,1484.7431640625,162.6999969482422,3809.0,0.0,233.1999969482422,634.8049926757812,216.08815002441406,41.872554779052734,8475.7373046875,193.6640625,255.3000030517578,519.2755737304688,1361.7840576171875,0.0,198.34707641601562,7651.3310546875,560.5999755859375,937.5880126953125,3090.4013671875,1240.0,466.40447998046875,927.2327880859375,5250.72802734375,2946.20263671875,457.8182373046875,497.43280029296875,5227.333984375,0.0,742.0027465820312,973.5661010742188,266.29998779296875,391.00909423828125,712.8173217773438,804.618896484375,2650.5869140625,2580.404296875,282.12646484375,1638.720703125,0.0,2697.163818359375,8828.6162109375,1775.72998046875,639.5454711914062,675.0144653320312,0.0,276.0,3781.67529296875,0.0,963.1552734375,70.54219055175781,1818.9798583984375,3342.0,713.0
2023-11-20,2133.355224609375,2606.303955078125,113.0,2205.80078125,1395.8892822265625,4682.2861328125,2331.8046875,9949.9384765625,703.9541015625,0.0,514.9093627929688,0.0,138.06715393066406,482.4979248046875,548.5169677734375,4519.408203125,0.0,2402.05517578125,0.0,2907.0,1560.64013671875,150.89999389648438,2089.0,2023.7203369140625,220.4453582763672,4539.904296875,5209.66943359375,2773.589111328125,3317.023681640625,849.3585205078125,431.87860107421875,2927.431884765625,905.6956176757812,13070.0,865.0,541.3174438476562,459.0139465332031,1394.43701171875,321.6159973144531,2082.43994140625,1710.2169189453125,674.8840942382812,567.944091796875,6032.919921875,1550.4234619140625,1747.802734375,751.4000244140625,1507.3734130859375,163.60000610351562,3816.0,0.0,232.10000610351562,637.1366577148438,218.34689331054688,41.55881118774414,8570.904296875,194.41908264160156,252.5,514.6995849609375,1352.9730224609375,0.0,198.63343811035156,7653.31494140625,595.7999877929688,940.7382202148438,3098.37158203125,1251.0,464.12237548828125,922.3267822265625,5184.55859375,2946.20263671875,463.24847412109375,496.2460632324219,5292.603515625,0.0,741.4092407226562,978.5110473632812,263.79998779296875,390.9130554199219,721.5977783203125,813.2286376953125,2615.20654296875,2612.554443359375,279.1876220703125,1625.333251953125,0.0,2612.031005859375,9075.5009765625,1769.79443359375,644.0028686523438,674.4252319335938,0.0,274.70001220703125,3742.03515625,0.0,959.255859375,70.26961517333984,1807.598876953125,3342.0,709.2000122070312
2023-11-21,2125.4501953125,2675.885009765625,112.5,2189.16064453125,1401.3419189453125,4696.25146484375,2347.721435546875,10034.6103515625,701.7642211914062,0.0,512.9830322265625,0.0,137.27288818359375,487.6477355957031,547.0477294921875,4529.33642578125,0.0,2403.482177734375,0.0,2920.0,1526.5628662109375,148.0500030517578,2176.0,2021.7459716796875,222.02561950683594,4479.6748046875,5255.12548828125,2768.642578125,3279.487548828125,822.0745849609375,413.62744140625,2923.450439453125,895.7319946289062,12775.0,862.5,535.7491455078125,450.63238525390625,1403.74658203125,322.8501281738281,2070.4833984375,1715.0963134765625,673.3136596679688,565.2711791992188,6098.23681640625,1547.4552001953125,1765.7725830078125,748.5999755859375,1511.30908203125,155.4499969482422,3796.0,0.0,230.60000610351562,621.5919799804688,215.52345275878906,41.07612991333008,8606.5908203125,192.15402221679688,252.3000030517578,511.51629638671875,1338.777587890625,0.0,197.58346557617188,7649.34716796875,567.0,948.4169311523438,3100.364013671875,1247.0,457.18096923828125,902.1141357421875,5260.458984375,2967.924072265625,456.3372497558594,491.894775390625,5309.880859375,0.0,740.222412109375,986.2251586914062,265.5,383.8055419921875,713.8151245117188,791.9000244140625,2605.378662109375,2584.85595703125,274.0936584472656,1613.92919921875,0.0,2583.00830078125,9014.2734375,1770.2890625,641.4834594726562,662.05224609375,0.0,276.5,3770.27880859375,0.0,936.834228515625,70.03462982177734,1801.1661376953125,3340.0,701.5999755859375
2023-11-22,2148.177001953125,2673.89697265625,112.0,2190.62890625,1405.3076171875,4713.208984375,2357.66943359375,9930.2470703125,708.532958984375,0.0,514.3314819335938,0.0,135.58749389648438,487.8457946777344,553.4144287109375,4532.31494140625,0.0,2430.594482421875,0.0,2952.0,1520.6363525390625,146.4499969482422,2188.0,2051.361328125,223.40834045410156,4505.3466796875,5268.9599609375,2804.753173828125,3309.121337890625,870.7110595703125,418.5870056152344,2908.51953125,901.7101440429688,12960.0,864.0,536.9423217773438,442.6945495605469,1397.606201171875,324.1336364746094,2115.320556640625,1713.6324462890625,682.9324340820312,559.1880493164062,6189.28515625,1554.381103515625,1776.6490478515625,748.0,1541.31884765625,158.8000030517578,3829.0,0.0,214.5,626.6439819335938,214.20584106445312,40.83478927612305,8790.9755859375,191.7764892578125,251.0,513.306884765625,1337.798583984375,0.0,194.9108428955078,7667.201171875,567.5999755859375,952.354736328125,3122.28173828125,1251.5,454.80377197265625,897.7968139648438,5293.54345703125,3001.493408203125,450.21588134765625,497.2350158691406,5287.80419921875,0.0,751.2999877929688,1117.5635986328125,267.1000061035156,385.5343933105469,720.6000366210938,802.8577880859375,2627.98291015625,2528.96435546875,275.26922607421875,1624.3416748046875,0.0,2623.639892578125,8984.6474609375,1770.78369140625,637.0260620117188,656.7495727539062,0.0,279.79998779296875,3787.621337890625,0.0,949.50732421875,70.41999816894531,1800.176513671875,3344.0,706.4000244140625
2023-11-23,2134.34326171875,2679.861083984375,112.30000305175781,2184.266357421875,1412.247314453125,4788.02197265625,2359.658935546875,10016.8876953125,701.1669921875,0.0,516.4505004882812,0.0,135.83934020996094,487.6477355957031,553.4144287109375,4532.31494140625,0.0,2432.021484375,0.0,2963.0,1517.673095703125,147.5,2190.0,2064.19482421875,224.59352111816406,4489.548828125,5294.0,2794.85986328125,3303.194580078125,854.4989624023438,404.60101318359375,2903.542724609375,899.7174682617188,12800.0,864.0,526.2034912109375,443.5326843261719,1407.3118896484375,325.9107971191406,2125.284423828125,1710.704833984375,684.6991577148438,563.7965087890625,6102.19580078125,1552.40234375,1783.2822265625,745.7999877929688,1547.71435546875,154.25,3960.0,0.0,214.60000610351562,622.7015991210938,214.20584106445312,40.878231048583984,8808.8193359375,191.68212890625,248.8000030517578,517.6839599609375,1328.0086669921875,0.0,195.86534118652344,7673.15234375,559.7999877929688,951.7640380859375,3158.147216796875,1253.0,451.57080078125,900.7404174804688,5240.9970703125,3021.239990234375,450.4133605957031,501.3885192871094,5281.08544921875,0.0,757.4000244140625,1118.05810546875,269.8999938964844,383.51739501953125,723.5999755859375,797.37890625,2646.65576171875,2558.146728515625,275.3671875,1630.7874755859375,0.0,2641.053466796875,9024.1494140625,1786.6119384765625,645.5533447265625,652.232421875,0.0,280.0,3752.936279296875,0.0,950.9696044921875,70.87000274658203,1832.8349609375,3204.0,704.5999755859375
2023-11-24,2153.11767578125,2648.052490234375,112.30000305175781,2169.583984375,1404.316162109375,4767.07421875,2359.658935546875,10022.7958984375,697.3843383789062,0.0,525.1190185546875,0.0,137.19540405273438,490.2226257324219,550.9656982421875,4529.33642578125,0.0,2430.594482421875,0.0,2973.0,1509.2772216796875,148.1999969482422,2181.0,2043.4639892578125,225.38365173339844,4501.39697265625,5330.0,2793.870361328125,3301.218994140625,849.1607666015625,401.7244873046875,2897.5703125,891.7465209960938,12620.0,868.0,525.6068725585938,441.9056701660156,1408.8963623046875,328.3790588378906,2116.31689453125,1715.584228515625,690.7844848632812,561.768798828125,6086.361328125,1559.3282470703125,1788.1453857421875,746.4000244140625,1546.238525390625,153.3000030517578,3989.0,0.0,219.0,616.9851684570312,215.52345275878906,41.003726959228516,8781.0625,192.53152465820312,248.8000030517578,514.3016357421875,1332.4140625,0.0,196.6289520263672,7730.68115234375,571.0,952.7484741210938,3178.072509765625,1257.0,453.5676574707031,904.272705078125,5260.458984375,3010.37939453125,449.22857666015625,503.5641784667969,5265.7275390625,0.0,756.0,1091.8497314453125,272.1000061035156,385.2462463378906,713.0,791.3129272460938,2659.43212890625,2567.0498046875,276.44476318359375,1632.27490234375,0.0,2644.923095703125,9077.4765625,1800.4615478515625,646.7161254882812,649.8756713867188,0.0,283.79998779296875,3765.8193359375,0.0,949.0198974609375,71.73999786376953,1851.1435546875,3216.0,706.7999877929688
2023-11-27,2163.987060546875,2692.783203125,113.0999984741211,2158.327392578125,1400.3505859375,4740.1416015625,2365.6279296875,9821.9453125,706.5421752929688,0.0,530.5126953125,0.0,135.8005828857422,496.56085205078125,550.9656982421875,4563.09326171875,0.0,2424.88671875,0.0,2976.0,1485.5712890625,149.0,2181.0,2038.528076171875,224.59352111816406,4474.73828125,5384.0,2778.535888671875,3289.365478515625,842.4386596679688,401.7244873046875,2905.533447265625,888.7574462890625,12420.0,880.5,548.27783203125,439.2926025390625,1400.5772705078125,330.35369873046875,2116.31689453125,1699.4822998046875,704.5255737304688,559.833251953125,6084.3818359375,1558.3388671875,1797.8714599609375,746.4000244140625,1528.035888671875,150.85000610351562,4013.0,0.0,218.6999969482422,622.1102905273438,214.67642211914062,40.593448638916016,8820.71484375,193.00341796875,249.60000610351562,512.3120727539062,1324.5821533203125,0.0,194.62448120117188,7760.4375,574.5999755859375,954.5205078125,3178.072509765625,1261.5,450.1445007324219,891.71337890625,5244.8896484375,3033.088134765625,443.00848388671875,527.694091796875,5242.69140625,0.0,767.4000244140625,1106.6846923828125,276.20001220703125,381.6924743652344,712.2000122070312,801.2924194335938,2658.449462890625,2542.813720703125,274.87738037109375,1631.283203125,0.0,2617.83544921875,9087.3515625,1805.902587890625,646.7161254882812,634.1639404296875,0.0,284.6000061035156,3767.3056640625,0.0,954.8690185546875,71.04000091552734,1848.66943359375,3205.0,707.4000244140625
