,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
200906,6920.41,2963.82,2601.6,23815.57,25136.09,520.83,841.48,791.68,5008.69,1309.81,725.47,1343.9,3045.17,2373.09,729.86,570.9,810.94,1128.94,1242.32,538.71,1819.21,787.72,1126.19,7633.13,2684.04,3824.54,4676.73,2703.12,2174.08,6372.61,4159.98,5313.01,919.69,965.31,5281.2,2997.51,1883.26,1148.08,2715.32,2462.09,2350.54,1093.07,3947.64,2140.84,1190.09,2980.78,382.12,2556,7871.8
200907,4945.23,3064.92,2565.77,23806.05,23857.05,526.74,728.26,777.47,4880.56,1278.97,711.61,1391.03,3073.7,2214.21,730.93,529.03,792.64,1090.07,1361.79,502.59,1690.47,808.17,1677.76,7218.78,424.08,3356.87,4348.12,2685,1908.76,5830.54,4390.88,5123.39,1099.03,905.62,5576.21,3134.35,1902.27,1284.68,2878.64,2507.65,2315.71,1067.8,3854.48,2057.7,1357.15,2896.15,429.69,2710.79,7091.06
200908,5542.84,3276.91,2741.48,24688.99,25637.06,607.33,843.06,899.52,5456.64,1461.2,759.13,1444.09,3275.36,2590.23,869.38,720.31,932.04,1202.89,1446.01,533.54,1942.56,923.77,1950.39,7609.4,481.33,3139.9,4444.24,3149.02,2251.18,6118.92,4576.19,5370.12,1113.21,960.65,6290.97,3325.95,2091.19,1368.5,3334.17,2803.39,2603,1185.86,4130.52,2103.85,1488.64,3170.75,471.81,2896.93,7833.76
200909,5533.45,3324.83,2909.55,24502.79,25694.26,637.07,936.13,958.64,5410.11,1511.44,782.16,1532.66,3353.43,2629.23,929.68,732.15,1005.05,1277.7,1497.45,564.42,1972.97,944.85,1982.64,8401.57,542.27,3157.17,4357.8,3302.42,2277.41,6141.4,4560.83,5455.01,1149.28,985.61,6452.78,3402.31,2124.95,1384.1,3589.52,2811.04,2685.66,1251.59,4280.88,2160.97,1686.14,3510.81,537.65,2990.57,8106.5
200910,5163.88,3382.96,3076.77,26204.45,26513.39,662.25,1052.63,932.49,5755.42,1694.23,809.33,1565.35,3241.33,2834.98,990.29,740.18,1021.49,1235.1,1590.05,603.12,2142.93,1014.83,2033.18,8872.39,589.64,3284.48,4866.24,3612.94,2647.53,6470.22,4694.3,5858.17,1220.07,1030.27,6952.3,3633.34,2190.26,1478.58,3653.14,2973.36,2788.06,1312.85,4390.12,2237.59,1689.68,3502.03,605.36,3236.4,8927.65
200911,4510,3413.75,2952.31,26460.62,26439.75,672.56,915.78,924.31,5760.32,1648.99,785.55,1498.31,2991.27,2757.11,947.99,691.13,990.14,1122.97,1396.81,570.12,2150.56,969.82,1977.74,8469.27,547.11,3220.27,4789.19,3697.42,2646.94,6753.21,4558.95,5692.15,1090.42,998.63,6842.94,3725.72,2050.8,1428.29,3632.54,2812.55,2640.67,1323.23,4448.19,2170.4,1605.42,3376.6,543.43,3141.99,8311.5
200912,5988.66,3534.11,2958.8,27745.76,26985.05,689.95,1029.32,950.45,6302.28,1676.66,815.97,1646.27,3281.74,3009.97,985.53,711.92,1055.75,1076.18,1500.46,590.24,2313.42,1021.89,2193.24,9212.67,576.63,3586.49,5941.68,4136.95,2922.19,6933.25,4740.87,6169.2,1130.08,1046.2,7155.63,3933.58,2167.95,1481.62,3952.09,2821.2,2899.27,1381.03,4674.92,2329.16,1694.36,3568.38,597.23,3222.58,8841.05
201001,6105.61,3629.44,3115.13,27466.02,27514.94,715.29,1018.84,1109.04,6175.87,1748.02,874.69,1719.42,3386.07,3063.9,1003.57,789.98,1128.61,1142.2,1732.12,620.7,2398.1,1074.93,2333.09,9536.71,608.1,3537.15,5238.02,4060.89,3134.95,6876.8,5004.44,6622.17,1211.42,1107.48,7625.05,4160.53,2355.35,1570.69,4101.77,2973.67,3069.06,1462.1,4778.83,2390.47,1681.13,3667.26,699.28,3288.32,8623.99
201002,5681.64,3641.65,3034.75,26450.45,26602.11,727.49,1072.36,1149.14,6190.36,1691.54,851.57,1725.35,3406.66,2941.58,974.62,722.95,1094.66,1139.91,1514.73,581.85,2258.35,1023.48,2398.95,9620.76,551.96,3483.61,4654.1,3399.5,2907.21,6548.91,4773.67,6198.53,1170.64,1041.09,7125.89,3866.83,2161.85,1485.91,3896.2,2716.63,2580.27,1425.17,4711.57,2364.16,1707.72,3691.58,673.67,3028.72,9309.52
201003,5306.46,3809.54,2880.34,26512.21,27741.57,867.76,1121.99,1108.77,6506.1,1799.47,871.15,1791.05,3433.71,3093.05,1037.21,836.49,1132.43,1189.09,1581.44,624.49,2427.11,1125.56,2558.7,9948.16,580.52,3645.12,5321.5,3815.02,3211.48,6781.83,4726.52,6363.9,1185.4,1067.6,7632.7,4007.53,2275.41,1586.58,3966.92,2926.69,2770.45,1508.63,4939.23,2500.44,1756.08,3822.26,722.71,3143.52,9512.09
201004,5414.68,3957.94,3107.83,27935.1,29076.97,922.43,1289.58,1167.85,6635.35,2002.5,932.73,1868.29,3536.94,3293.55,1084.6,903.31,1232.71,1289.58,1766.91,659.29,2579.19,1241.89,2784.41,11032.75,683.64,3861.04,5516.34,4231.17,3273.67,7001.51,4859.56,6843.39,1264.29,1144.34,8386.56,4227.85,2508.75,1723.42,4189.27,3099.17,2990.67,1595.1,5231.58,2752.89,1920.63,4137.76,820.04,3368.66,10589.96
201005,4844.28,3955.3,3054.61,27441.43,28360.51,912.25,1500.48,1229.39,6677.23,2089.63,956.11,1872.95,3436.61,3440.06,1177.07,1006.48,1396.44,1413.44,1714.21,684.01,2733,1297.58,2912.35,11277.47,834.2,3923.62,6112.19,4067.12,3209.24,7346.97,4989.81,7100.19,1302.12,1164.27,8833.83,4260.92,2545.72,1840.04,4382.83,3155.53,3096.52,1677.31,5324.34,2952.98,1999.97,4093.66,867.43,3333.09,10633.02
201006,3961.84,3793.3,3048.74,26366.99,26160.48,861.92,1441.98,1097.07,6392.42,1964.59,930.37,1713.92,3138.52,3085.65,1118.67,908.34,1238.8,1261.28,1584.47,635.13,2445.99,1161.04,2617.44,10145.15,739.61,3650.14,5796.73,3803.6,2719.38,6459.92,4651.08,6741.97,1202.37,1095.86,8183.73,3895.48,2344.89,1709.48,3973.37,3187.81,2908.91,1608.71,5032.04,2797.91,1791.04,3866.82,761.86,3078.59,9561.95
